/home/lyra/models/qwen38-flash/.venv/bin/python3 /home/lyra/models/qwen38-flash/bench/memguard.py --min-avail-gib 8 --csv /home/lyra/models/qwen38-flash/bench/results/mtp2/engramhalo-Q4_K_XL-none-n4-p0.0-t1.0.csv -- /home/lyra/models/qwen38-flash/engine/build-engramhalo/bin/llama serve -m /home/lyra/.cache/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/c8b5954a88c2775c546b92593eda40ea041d3176/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf -ngl 999 -c 32768 -fa on -ctk q8_0 -ctv q8_0 --jinja --chat-template-kwargs {"reasoning_effort":"medium"} --host 127.0.0.1 --port 8097 --no-webui -np 1 --top-p 0.95 --top-k 20 --min-p 0 -lv 3 -b 8192 -ub 2048 -t 4 -lm none --temp 1.0 -md /home/lyra/.cache/huggingface/hub/models--dzannotti--Qwen3.8-Flash-Next-MTP-GGUF/snapshots/0b2551d191548168d3254ddea4ab943a5ef4f809/Qwen3.8-Flash-Next-MTP-Q4_K_M.gguf -ngld 99 --spec-type draft-mtp --spec-draft-n-max 4 --spec-draft-p-min 0.0
0.00.029.153 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.029.260 I srv          init: The UI is disabled
0.00.029.261 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.029.325 W srv  llama_server: -----------------
0.00.029.327 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.029.327 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.029.327 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.029.327 W srv  llama_server: -----------------
0.00.030.563 I srv    load_model: loading model '/home/lyra/.cache/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/c8b5954a88c2775c546b92593eda40ea041d3176/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf'
0.20.920.131 I cmn          init: llama threadpool init, n_threads = 4
0.21.022.797 I common_speculative_init_result: loading draft model '/home/lyra/.cache/huggingface/hub/models--dzannotti--Qwen3.8-Flash-Next-MTP-GGUF/snapshots/0b2551d191548168d3254ddea4ab943a5ef4f809/Qwen3.8-Flash-Next-MTP-Q4_K_M.gguf'
0.21.220.077 W model has unused tensor blk.48.indexer.q_proj.weight (size = 2621440 bytes) -- ignoring
0.21.220.080 W model has unused tensor blk.48.indexer.k_proj.weight (size = 655360 bytes) -- ignoring
0.21.220.082 W model has unused tensor blk.48.indexer.q_norm.weight (size = 512 bytes) -- ignoring
0.21.220.083 W model has unused tensor blk.48.indexer.k_norm.weight (size = 512 bytes) -- ignoring
0.22.317.022 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.22.418.037 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.22.418.086 I srv  llama_server: model loaded
0.22.418.092 I srv  llama_server: listening on http://127.0.0.1:8097
0.23.997.824 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.23.997.927 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.24.926.279 I slot print_timing: id  0 | task 0 | prompt eval time =     360.60 ms /    16 tokens (   22.54 ms per token,    44.37 tokens per second)
0.24.926.283 I slot print_timing: id  0 | task 0 |        eval time =     567.67 ms /    16 tokens (   37.84 ms per token,    26.42 tokens per second)
0.24.926.284 I slot print_timing: id  0 | task 0 |       total time =     928.27 ms /    32 tokens
0.24.926.291 I slot print_timing: id  0 | task 0 |    graphs reused =          3
0.24.926.294 I slot print_timing: id  0 | task 0 | draft acceptance = 0.78571 (   11 accepted /    14 generated), mean len =  3.75
0.24.926.359 I slot      release: id  0 | task 0 | stop processing: n_tokens = 31, truncated = 0
0.24.931.857 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 271268741325
0.24.974.741 I slot launch_slot_: id  0 | task 7 | processing task, is_child = 0
0.28.451.882 I slot print_timing: id  0 | task 7 | n_gen =    101, tg =  32.61 t/s, tg_3s =  32.94 t/s
0.31.509.443 I slot print_timing: id  0 | task 7 | n_gen =    196, tg =  31.84 t/s, tg_3s =  31.07 t/s
0.34.535.142 I slot print_timing: id  0 | task 7 | n_gen =    291, tg =  31.70 t/s, tg_3s =  31.40 t/s
0.37.615.567 I slot print_timing: id  0 | task 7 | n_gen =    399, tg =  32.54 t/s, tg_3s =  35.06 t/s
0.37.667.678 I slot print_timing: id  0 | task 7 | prompt eval time =     410.94 ms /    47 tokens (    8.74 ms per token,   114.37 tokens per second)
0.37.667.683 I slot print_timing: id  0 | task 7 |        eval time =   12281.97 ms /   400 tokens (   30.78 ms per token,    32.49 tokens per second)
0.37.667.683 I slot print_timing: id  0 | task 7 |       total time =   12692.91 ms /   447 tokens
0.37.667.685 I slot print_timing: id  0 | task 7 |    graphs reused =        138
0.37.667.688 I slot print_timing: id  0 | task 7 | draft acceptance = 0.47628 (  261 accepted /   548 generated), mean len =  2.91
0.37.667.717 I slot      release: id  0 | task 7 | stop processing: n_tokens = 446, truncated = 0
0.37.673.969 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 271281482683
0.37.716.233 I slot launch_slot_: id  0 | task 148 | processing task, is_child = 0
0.41.223.005 I slot print_timing: id  0 | task 148 | n_gen =    116, tg =  37.29 t/s, tg_3s =  37.61 t/s
0.44.230.561 I slot print_timing: id  0 | task 148 | n_gen =    225, tg =  36.77 t/s, tg_3s =  36.24 t/s
0.47.308.617 I slot print_timing: id  0 | task 148 | n_gen =    309, tg =  33.59 t/s, tg_3s =  27.29 t/s
0.50.387.317 I slot print_timing: id  0 | task 148 | n_gen =    380, tg =  30.94 t/s, tg_3s =  23.06 t/s
0.50.982.393 I slot print_timing: id  0 | task 148 | prompt eval time =     422.71 ms /    51 tokens (    8.29 ms per token,   120.65 tokens per second)
0.50.982.397 I slot print_timing: id  0 | task 148 |        eval time =   12843.37 ms /   400 tokens (   32.19 ms per token,    31.07 tokens per second)
0.50.982.397 I slot print_timing: id  0 | task 148 |       total time =   13266.08 ms /   451 tokens
0.50.982.399 I slot print_timing: id  0 | task 148 |    graphs reused =        275
